ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,d
4118,4093,4101,4100,4096,4089,4112,4096,0000000000111111
4118,4094,4098,4097,4096,4079,4112,4096,0000000000111111
4117,4093,4101,4089,4096,4088,4114,4096,0000000000111111
4116,4093,4106,4086,4096,4082,4112,4096,0000000000111111
4118,4093,4099,4089,4096,4086,4118,4096,0000000000111111
4119,4093,4100,4082,4095,4083,4115,4096,0000000000111111
4119,4093,4109,4099,4096,4080,4110,4096,0000000000111111
4119,4093,4095,4098,4096,4090,4116,4096,0000000000111111
4117,4091,4105,4104,4096,4081,4118,4096,0000000000111111
4117,4092,4093,4106,4096,4086,4114,4096,0000000000111111
4118,4093,4095,4109,4096,4091,4108,4096,0000000000111111
4119,4093,4101,4108,4095,4091,4108,4096,0000000000111111
4119,4093,4101,4103,4096,4089,4113,4096,0000000000111111
4118,4094,4098,4106,4096,4083,4115,4096,0000000000111111
4117,4094,4095,4100,4096,4086,4111,4096,0000000000111111
4117,4093,4098,4099,4096,4089,4112,4096,0000000000111111
4118,4093,4101,4099,4096,4092,4118,4096,0000000000111111
4118,4093,4100,4105,4096,4086,4114,4096,0000000000111111
4118,4093,4102,4106,4096,4086,4115,4096,0000000000111111
4119,4093,4106,4106,4096,4091,4111,4096,0000000000111111
4119,4093,4102,4107,4096,4090,4119,4096,0000000000111111
4119,4093,4103,4113,4096,4086,4120,4096,0000000000111111
4119,4093,4104,4104,4095,4078,4115,4096,0000000000111111
4119,4093,4102,4103,4096,4086,4115,4096,0000000000111111
4120,4093,4102,4110,4096,4083,4118,4096,0000000000111111
4120,4092,4099,4106,4096,4085,4121,4096,0000000000111111
4119,4091,4099,4106,4096,4082,4118,4096,0000000000111111
4120,4090,4099,4102,4096,4078,4107,4096,0000000000111111
4121,4091,4099,4096,4096,4088,4119,4096,0000000000111111
4121,4092,4104,4106,4096,4081,4115,4096,0000000000111111
4119,4091,4093,4102,4096,4089,4112,4096,0000000000111111
4119,4091,4099,4111,4096,4084,4117,4096,0000000000111111
4119,4092,4102,4103,4096,4088,4115,4096,0000000000111111
4119,4092,4102,4111,4096,4086,4113,4096,0000000000111111
4119,4092,4099,4106,4096,4086,4118,4096,0000000000111111
4119,4092,4099,4101,4095,4084,4112,4096,0000000000111111
4119,4093,4106,4102,4095,4080,4103,4096,0000000000111111
4119,4093,4098,4102,4096,4080,4107,4096,0000000000111111
4119,4093,4097,4107,4096,4080,4107,4096,0000000000111111
4118,4092,4099,4104,4096,4077,4113,4096,0000000000111111
4118,4091,4095,4104,4096,4088,4112,4096,0000000000111111
4119,4093,4106,4098,4096,4079,4115,4096,0000000000111111
4119,4093,4099,4097,4096,4086,4112,4096,0000000000111111
4118,4093,4097,4091,4096,4083,4113,4096,0000000000111111
4118,4092,4098,4104,4096,4082,4111,4096,0000000000111111
4119,4093,4102,4100,4096,4083,4109,4096,0000000000111111
4119,4093,4101,4097,4096,4071,4102,4096,0000000000111111
4118,4093,4103,4096,4096,4081,4112,4096,0000000000111111
4117,4093,4096,4107,4096,4080,4109,4096,0000000000111111
4117,4092,4097,4104,4096,4084,4115,4096,0000000000111111
4118,4093,4098,4102,4096,4080,4103,4096,0000000000111111
4118,4093,4099,4108,4096,4081,4120,4096,0000000000111111
4117,4093,4099,4108,4096,4084,4113,4096,0000000000111111
4117,4093,4100,4099,4096,4080,4113,4096,0000000000111111
4117,4093,4101,4106,4096,4086,4112,4096,0000000000111111
4117,4093,4100,4102,4095,4086,4106,4096,0000000000111111
4117,4093,4103,4096,4096,4081,4111,4096,0000000000111111
4117,4092,4099,4106,4096,4090,4111,4096,0000000000111111
4117,4093,4102,4098,4096,4097,4098,4096,0000000000111111
4117,4093,4103,4105,4095,4090,4123,4096,0000000000111111
4117,4094,4099,4109,4096,4088,4115,4096,0000000000111111
4117,4093,4102,4106,4096,4088,4108,4096,0000000000111111
4117,4093,4104,4106,4096,4089,4116,4096,0000000000111111
4117,4093,4099,4106,4096,4085,4119,4096,0000000000111111
4117,4093,4104,4107,4096,4085,4106,4096,0000000000111111
4117,4093,4107,4103,4096,4090,4116,4096,0000000000111111
4116,4095,4097,4105,4096,4093,4118,4096,0000000000111111
4116,4093,4098,4108,4096,4085,4111,4096,0000000000111111
4117,4093,4086,4105,4096,4093,4106,4096,0000000000111111
4117,4093,4098,4099,4096,4093,4100,4096,0000000000111111
4117,4093,4100,4103,4096,4091,4102,4096,0000000000111111
4117,4093,4099,4101,4096,4087,4103,4096,0000000000111111
4117,4093,4101,4101,4095,4086,4097,4096,0000000000111111
4118,4093,4103,4104,4095,4086,4107,4096,0000000000111111
4118,4093,4099,4090,4096,4097,4093,4096,0000000000111111
4118,4093,4103,4096,4096,4094,4106,4096,0000000000111111
4119,4093,4105,4097,4096,4094,4103,4096,0000000000111111
4119,4093,4099,4093,4096,4089,4111,4096,0000000000111111
4120,4093,4104,4099,4096,4094,4105,4096,0000000000111111
4122,4092,4101,4099,4096,4092,4099,4096,0000000000111111
4124,4091,4098,4095,4096,4085,4109,4096,0000000000111111
4126,4092,4096,4092,4096,4086,4104,4096,0000000000111111
4131,4092,4095,4104,4096,4092,4104,4096,0000000000111111
4133,4093,4094,4098,4096,4089,4107,4096,0000000000111111
4137,4094,4097,4103,4096,4086,4093,4096,0000000000111111
4142,4098,4085,4109,4096,4087,4098,4096,0000000000111111
4149,4099,4100,4111,4096,4092,4100,4096,0000000000111111
4156,4099,4104,4105,4096,4095,4099,4096,0000000000111111
4163,4099,4106,4097,4096,4098,4089,4096,0000000000111111
4171,4099,4098,4094,4096,4092,4104,4096,0000000000111111
4180,4098,4104,4106,4096,4096,4099,4096,0000000000111111
4192,4098,4104,4107,4096,4092,4104,4096,0000000000111111
4202,4098,4099,4095,4096,4086,4099,4096,0000000000111111
4213,4097,4094,4100,4096,4090,4100,4096,0000000000111111
4225,4099,4094,4094,4096,4089,4100,4096,0000000000111111
4238,4098,4093,4094,4096,4084,4092,4096,0000000000111111
4249,4099,4091,4093,4096,4087,4099,4096,0000000000111111
4262,4099,4087,4106,4096,4091,4095,4096,0000000000111111
4272,4099,4097,4105,4096,4086,4096,4096,0000000000111111
4287,4098,4095,4108,4096,4075,4101,4096,0000000000111111
4304,4099,4096,4102,4096,4081,4102,4096,0000000000111111
4322,4100,4097,4112,4096,4086,4096,4096,0000000000111111
4338,4099,4093,4103,4096,4087,4106,4096,0000000000111111
4353,4096,4096,4109,4096,4089,4097,4096,0000000000111111
4369,4095,4101,4107,4096,4089,4092,4096,0000000000111111
4386,4093,4099,4113,4096,4090,4100,4096,0000000000111111
4403,4093,4095,4106,4096,4094,4101,4096,0000000000111111
4422,4091,4088,4103,4096,4093,4101,4096,0000000000111111
4436,4089,4104,4104,4096,4092,4099,4096,0000000000111111
4451,4087,4094,4099,4096,4094,4093,4096,0000000000111111
4469,4086,4102,4097,4096,4093,4100,4096,0000000000111111
4486,4086,4101,4102,4096,4089,4102,4096,0000000000111111
4503,4083,4099,4099,4096,4089,4099,4096,0000000000111111
4522,4080,4103,4099,4096,4081,4097,4096,0000000000111111
4541,4078,4102,4105,4096,4088,4099,4096,0000000000111111
4560,4076,4106,4103,4096,4088,4098,4096,0000000000111111
4580,4075,4106,4108,4096,4088,4090,4096,0000000000111111
4598,4073,4105,4098,4096,4084,4099,4096,0000000000111111
4617,4071,4106,4103,4096,4093,4086,4096,0000000000111111
4637,4068,4105,4101,4096,4087,4099,4096,0000000000111111
4658,4066,4104,4099,4096,4088,4096,4096,0000000000111111
4678,4066,4104,4104,4096,4087,4106,4096,0000000000111111
4695,4064,4099,4098,4096,4087,4106,4096,0000000000111111
4713,4060,4102,4099,4096,4090,4100,4096,0000000000111111
4733,4058,4103,4104,4096,4080,4088,4096,0000000000111111
4752,4058,4102,4111,4096,4089,4104,4096,0000000000111111
4768,4058,4103,4103,4096,4089,4101,4096,0000000000111111
4785,4058,4099,4101,4096,4085,4094,4096,0000000000111111
4804,4059,4104,4101,4096,4090,4100,4096,0000000000111111
4821,4060,4106,4104,4096,4089,4102,4096,0000000000111111
4843,4060,4108,4106,4096,4093,4105,4096,0000000000111111
4863,4062,4106,4100,4096,4086,4104,4096,0000000000111111
4883,4063,4102,4100,4096,4085,4103,4096,0000000000111111
4903,4062,4089,4105,4096,4088,4101,4096,0000000000111111
4921,4066,4103,4105,4096,4087,4105,4096,0000000000111111
4939,4068,4100,4108,4096,4095,4099,4096,0000000000111111
4961,4070,4096,4106,4096,4094,4101,4096,0000000000111111
4982,4070,4092,4103,4096,4088,4103,4096,0000000000111111
5002,4073,4104,4100,4096,4084,4106,4096,0000000000111111
5022,4076,4103,4099,4096,4094,4105,4096,0000000000111111
5042,4080,4103,4105,4096,4092,4109,4096,0000000000111111
5062,4082,4101,4106,4096,4089,4093,4096,0000000000111111
5082,4080,4101,4100,4096,4087,4100,4096,0000000000111111
5103,4085,4108,4108,4096,4089,4103,4096,0000000000111111
5128,4090,4099,4112,4096,4085,4106,4096,0000000000111111
5149,4096,4104,4105,4096,4092,4102,4096,0000000000111111
5167,4099,4102,4102,4096,4095,4108,4096,0000000000111111
5188,4100,4098,4107,4096,4094,4109,4096,0000000000111111
5208,4106,4108,4112,4096,4081,4106,4096,0000000000111111
5226,4112,4102,4106,4096,4086,4105,4096,0000000000111111
5246,4120,4099,4107,4096,4080,4103,4096,0000000000111111
5262,4127,4100,4101,4096,4084,4100,4096,0000000000111111
5279,4132,4093,4106,4096,4080,4107,4096,0000000000111111
5298,4137,4106,4096,4096,4080,4097,4096,0000000000111111
5315,4144,4107,4107,4096,4090,4104,4096,0000000000111111
5327,4151,4103,4105,4096,4079,4106,4096,0000000000111111
5344,4158,4107,4106,4096,4087,4094,4096,0000000000111111
5359,4161,4103,4107,4096,4073,4106,4096,0000000000111111
5372,4167,4102,4106,4096,4077,4106,4096,0000000000111111
5386,4175,4102,4106,4096,4085,4101,4096,0000000000111111
5399,4183,4101,4106,4096,4089,4098,4096,0000000000111111
5412,4187,4103,4096,4096,4086,4105,4096,0000000000111111
5428,4190,4100,4099,4096,4086,4104,4096,0000000000111111
5444,4194,4097,4104,4096,4075,4094,4096,0000000000111111
5464,4204,4091,4101,4096,4085,4100,4096,0000000000111111
5488,4216,4099,4106,4096,4080,4096,4096,0000000000111111
5511,4225,4105,4107,4096,4085,4095,4096,0000000000111111
5527,4230,4092,4111,4096,4082,4101,4096,0000000000111111
5545,4238,4095,4108,4096,4081,4106,4096,0000000000111111
5565,4250,4101,4108,4096,4085,4099,4096,0000000000111111
5586,4262,4095,4106,4096,4080,4097,4096,0000000000111111
5604,4272,4100,4099,4096,4081,4103,4096,0000000000111111
5623,4284,4099,4098,4096,4082,4102,4096,0000000000111111
5642,4295,4096,4111,4096,4084,4102,4096,0000000000111111
5652,4301,4099,4113,4096,4087,4081,4096,0000000000111111
5664,4309,4103,4101,4096,4087,4097,4096,0000000000111111
5680,4316,4096,4099,4096,4085,4100,4096,0000000000111111
5694,4331,4099,4100,4096,4087,4101,4096,0000000000111111
5709,4342,4099,4102,4096,4086,4090,4096,0000000000111111
5722,4351,4104,4107,4096,4077,4103,4096,0000000000111111
5735,4360,4093,4099,4096,4087,4104,4096,0000000000111111
5747,4366,4102,4108,4096,4091,4101,4096,0000000000111111
5757,4374,4112,4105,4096,4086,4100,4096,0000000000111111
5768,4382,4102,4103,4096,4086,4091,4096,0000000000111111
5780,4393,4093,4100,4096,4080,4094,4096,0000000000111111
5795,4401,4104,4098,4096,4087,4099,4096,0000000000111111
5808,4407,4095,4109,4096,4093,4093,4096,0000000000111111
5820,4414,4112,4106,4096,4087,4099,4096,0000000000111111
5833,4427,4109,4099,4096,4087,4097,4096,0000000000111111
