ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,d,time(ms)
-2.7685546875,-0.966796875,0.703125,-0.263671875,0.0,-0.2197265625,0.087890625,0.0439453125,0000000000111111,0
-2.8125,-0.8349609375,0.703125,-0.3515625,0.0,-0.2197265625,0.087890625,0.0,0000000000111111,20
-3.251953125,-1.0107421875,0.7470703125,-0.2197265625,0.0,0.1318359375,0.1318359375,0.17578125,0000000000111111,40
-3.2958984375,-0.966796875,0.3955078125,-0.263671875,0.0,-0.087890625,0.087890625,0.1318359375,0000000000111111,60
-2.900390625,-0.8349609375,0.9228515625,-0.1318359375,0.0,-0.263671875,0.1318359375,-0.0439453125,0000000000111111,80
-2.8564453125,-0.791015625,0.791015625,-0.3515625,0.0,-0.0439453125,0.087890625,0.087890625,0000000000111111,100
-3.076171875,-0.615234375,0.5712890625,-0.263671875,0.0,-0.17578125,0.1318359375,0.1318359375,0000000000111111,120
-3.779296875,-0.703125,0.6591796875,-0.3515625,0.0,-0.1318359375,0.087890625,0.263671875,0000000000111111,140
-3.0322265625,-0.3955078125,0.4833984375,0.1318359375,0.0,-0.087890625,0.1318359375,0.17578125,0000000000111111,160
-2.900390625,-0.3076171875,0.5712890625,-0.3076171875,0.0,-0.0439453125,0.1318359375,0.0439453125,0000000000111111,180
-3.955078125,-0.703125,0.615234375,-0.2197265625,0.0,-0.1318359375,0.1318359375,0.1318359375,0000000000111111,200
-2.5048828125,-0.703125,0.966796875,-0.087890625,0.0,-0.2197265625,0.087890625,0.1318359375,0000000000111111,220
-2.900390625,-0.5712890625,0.5712890625,-0.1318359375,0.0,-0.3076171875,0.1318359375,0.263671875,0000000000111111,240
-2.9443359375,-0.703125,0.439453125,-0.52734375,0.0,-0.1318359375,0.087890625,0.1318359375,0000000000111111,260
-2.724609375,-0.52734375,0.7470703125,-0.3076171875,0.0,0.1318359375,0.087890625,-0.0439453125,0000000000111111,280
-2.109375,-0.7470703125,0.5712890625,-0.17578125,0.0,0.1318359375,0.0439453125,0.087890625,0000000000111111,300
-2.98828125,-0.7470703125,0.703125,-0.0439453125,0.0,0.0439453125,0.0,0.0439453125,0000000000111111,320
-4.0869140625,-0.703125,0.5712890625,-0.3955078125,0.0,0.0,0.0,0.1318359375,0000000000111111,340
-4.130859375,-0.439453125,0.5712890625,-0.087890625,0.0,-0.1318359375,0.0,0.0,0000000000111111,360
-3.251953125,-0.263671875,0.52734375,0.0,0.0,-0.087890625,0.0,-0.087890625,0000000000111111,380
-3.33984375,-0.5712890625,0.6591796875,0.087890625,0.0,-0.263671875,-0.0439453125,-0.0439453125,0000000000111111,400
