ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
4101,4096,4074,4102,4096,4106,4112,4096
4101,4096,4093,4101,4096,4103,4114,4096
4100,4097,4097,4105,4097,4094,4105,4097
4101,4098,4102,4104,4096,4094,4112,4097
4102,4098,4086,4102,4096,4094,4102,4097
4101,4097,4080,4103,4096,4099,4107,4097
4101,4097,4085,4103,4096,4100,4112,4097
4102,4098,4103,4099,4096,4102,4115,4096
4101,4099,4096,4100,4097,4103,4115,4097
4101,4099,4088,4091,4096,4100,4111,4097
4101,4098,4084,4086,4096,4101,4098,4096
4101,4099,4088,4090,4096,4103,4099,4097
4102,4099,4095,4094,4096,4104,4110,4097
4101,4099,4094,4093,4096,4105,4102,4097
4102,4099,4081,4093,4096,4102,4112,4097
4101,4098,4085,4089,4096,4105,4112,4097
4101,4098,4084,4096,4097,4097,4107,4097
4100,4099,4099,4099,4096,4099,4108,4097
4102,4099,4097,4093,4097,4094,4102,4096
4102,4099,4080,4102,4097,4099,4112,4097
4102,4097,4085,4095,4096,4094,4109,4097
4101,4098,4093,4100,4096,4099,4106,4097
4102,4099,4102,4101,4096,4103,4095,4096
4102,4099,4097,4099,4096,4106,4101,4097
4102,4099,4076,4099,4097,4099,4106,4097
4101,4098,4080,4098,4097,4101,4099,4097
4100,4098,4091,4099,4096,4106,4099,4097
4101,4099,4093,4106,4097,4099,4090,4097
4102,4099,4094,4105,4097,4092,4101,4097
4102,4098,4080,4099,4097,4103,4093,4097
4102,4098,4079,4099,4096,4101,4104,4097
4101,4098,4088,4101,4096,4099,4100,4097
4102,4099,4097,4085,4097,4098,4100,4097
4101,4099,4100,4091,4096,4099,4105,4097
4102,4099,4083,4084,4097,4104,4098,4097
4101,4098,4086,4095,4097,4104,4104,4097
4101,4098,4096,4087,4097,4092,4098,4097
4101,4098,4099,4096,4096,4103,4109,4097
4102,4099,4098,4090,4097,4099,4108,4096
4102,4098,4087,4085,4097,4095,4110,4097
4102,4098,4084,4099,4097,4104,4102,4097
4102,4098,4097,4106,4096,4093,4105,4097
4101,4098,4105,4105,4096,4096,4108,4097
4101,4099,4095,4109,4097,4111,4105,4097
4102,4098,4080,4106,4097,4099,4106,4097
4102,4098,4084,4103,4097,4099,4104,4097
4102,4099,4095,4101,4096,4095,4106,4097
4102,4098,4095,4106,4097,4101,4108,4097
4102,4098,4087,4100,4097,4100,4107,4097
4102,4098,4075,4104,4097,4105,4100,4097
4102,4098,4081,4101,4097,4095,4108,4097
4102,4098,4093,4101,4096,4106,4106,4097
4103,4099,4089,4106,4097,4104,4108,4097
4103,4099,4090,4102,4096,4099,4109,4097
4103,4098,4086,4097,4096,4104,4106,4097
4102,4097,4084,4094,4096,4111,4112,4097
4103,4099,4098,4081,4097,4102,4112,4097
4102,4099,4105,4086,4097,4100,4106,4096
4102,4098,4087,4083,4096,4093,4104,4097
4102,4097,4080,4090,4096,4095,4104,4097
4103,4098,4083,4088,4097,4094,4107,4097
4103,4098,4091,4080,4096,4094,4104,4097
4103,4098,4099,4084,4096,4098,4105,4097
4103,4099,4093,4080,4096,4099,4104,4097
4102,4097,4081,4093,4096,4106,4097,4097
4103,4098,4088,4097,4096,4105,4107,4097
4103,4098,4089,4084,4096,4104,4088,4097
4104,4099,4105,4083,4096,4107,4092,4097
